id;source;topic;type;question;options_or_pairs;correct;explanation;tags
SS2023-01;Original SS2023;Standardsoftware;multiple_choice;Welche Aussagen zu Standard-Software sind richtig?;"[{""id"": ""a"", ""text"": ""Die gesamten Kosten für die Einführung einer Standard-Software können höher sein, als die einer entsprechenden Individual-Software."", ""correct"": true}, {""id"": ""b"", ""text"": ""SAP kann als Standard-Software angesehen werden."", ""correct"": true}, {""id"": ""c"", ""text"": ""MS Office kann als Standard-Software angesehen werden."", ""correct"": true}, {""id"": ""d"", ""text"": ""Standard-Software ist für spezielle Unternehmensfunktionen gedacht."", ""correct"": false}]";"[""a"", ""b"", ""c""]";"Standardsoftware ist für allgemeine Anforderungen gedacht; durch Einführung, Customizing und Betrieb können trotzdem hohe Gesamtkosten entstehen.";
SS2023-02;Original SS2023;Open Source;true_false;Ein Closed-Source-Projekt ist die Bezeichnung für ein abgeschlossenes Software-Projekt, welches ursprünglich Open-Source war, jedoch hat die Community aufgehört den Code weiterzuentwickeln.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";"Closed Source bedeutet in der Regel, dass der Quellcode nicht öffentlich zugänglich ist; es bezeichnet nicht bloß ein nicht mehr weiterentwickeltes Open-Source-Projekt.";
SS2023-03;Original SS2023;Informationssysteme;multiple_choice;Welche Aussagen betreffend Einteilung von IS nach Art der Entscheidung sind korrekt?;"[{""id"": ""a"", ""text"": ""Das strategische Management arbeitet hauptsächlich mit strukturierten Daten."", ""correct"": false}, {""id"": ""b"", ""text"": ""Im operativen Management arbeitet man hauptsächlich mit Systemen die Business Intelligence verwenden."", ""correct"": false}, {""id"": ""c"", ""text"": ""Im operativen Management arbeitet man hauptsächlich mit Systemen die Online Transaction Processing verwenden."", ""correct"": true}, {""id"": ""d"", ""text"": ""Das strategische Management arbeitet unter anderem mit Decision Support Systems."", ""correct"": true}]";"[""c"", ""d""]";;
SS2023-04;Original SS2023;IT-Footprint;true_false;"Die Verlagerung des IT-Footprint in Anlehnung an die aktuelle Unternehmensstrategie ermöglicht die Ausrichtung der eigenen IKT-Infrastruktur anhand der folgenden vier Kriterien: Wettbewerbsvorteil, Kostendämmung, Technologiefokus und Business-Service-Fokus. Der Ideale Footprint stellt eine Mischung dieser Kriterien dar; die Entscheidung zur Gestaltung der IKT-Infrastruktur wird entsprechend danach ausgestaltet.";"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
SS2023-05;Original SS2023;Standardsoftware;multiple_choice;Welche der folgenden Softwareprodukte sind Standard-SW?;"[{""id"": ""a"", ""text"": ""Facebook App für Android"", ""correct"": true}, {""id"": ""b"", ""text"": ""SAP"", ""correct"": true}, {""id"": ""c"", ""text"": ""Mozilla Firefox"", ""correct"": true}, {""id"": ""d"", ""text"": ""MS Windows 8"", ""correct"": true}]";"[""a"", ""b"", ""c"", ""d""]";;
SS2023-06;Original SS2023;Einführung IS;multiple_choice;Welche Aussagen zu Umstellungsstrategien bei der ERP Einführung sind richtig?;"[{""id"": ""a"", ""text"": ""Bei der teilweisen Ersetzung als Umstellungsstrategie werden Teile der Geschäftsobjekte mit dem neuen und Teile mit dem alten System verwaltet."", ""correct"": true}, {""id"": ""b"", ""text"": ""Bei der schrittweisen Ablösung als Umstellungsstrategie muss das System in Module aufgeteilt sein."", ""correct"": true}, {""id"": ""c"", ""text"": ""Bei der teilweisen Ersetzung als Umstellungsstrategie muss das System in Module aufgeteilt sein."", ""correct"": false}, {""id"": ""d"", ""text"": ""Bei der schrittweisen Ablösung als Umstellungsstrategie werden Teile der Geschäftsobjekte mit dem neuen und Teile mit dem alten System verwaltet."", ""correct"": false}]";"[""a"", ""b""]";;
SS2023-07;Original SS2023;ECM;multiple_choice;Welche Aussagen zu den Formen von Content sind richtig?;"[{""id"": ""a"", ""text"": ""Schwach strukturierter Content ist Content in standardisierter Form."", ""correct"": false}, {""id"": ""b"", ""text"": ""Bei unstrukturiertem Content kann der Inhalt nicht so einfach erschlossen werden."", ""correct"": true}, {""id"": ""c"", ""text"": ""Schwach strukturierter Content ist beispielsweise ein Video."", ""correct"": false}, {""id"": ""d"", ""text"": ""Strukturierter Content sind Daten bspw. aus datenbankgestützten Systemen."", ""correct"": true}]";"[""b"", ""d""]";;
SS2023-08;Original SS2023;ERP;multiple_choice;Welche Aussagen zu Enterprise Resource Planning sind richtig?;"[{""id"": ""a"", ""text"": ""Enterprise Resource Planning ist ein Konzept."", ""correct"": true}, {""id"": ""b"", ""text"": ""Enterprise Resource Planning ist für die Verwaltung aller Ressourcen im Unternehmen gedacht."", ""correct"": true}, {""id"": ""c"", ""text"": ""Enterprise Resource Planning ist grundsätzlich nur für einen Unternehmensbereich gedacht."", ""correct"": false}, {""id"": ""d"", ""text"": ""Enterprise Resource Planning ist nur für die vergangenheitsbezogene Analyse von Unternehmensdaten gedacht."", ""correct"": false}, {""id"": ""e"", ""text"": ""Enterprise Resource Planning ist auch für die Analyse von Kennzahlen gedacht."", ""correct"": true}]";"[""a"", ""b"", ""e""]";;
SS2023-09;Original SS2023;Auswahl IS;matching;Ordnen Sie die Phasen bei der Auswahl eines ERP-Systems nach deren Aufwand (1 höchster Aufwand, 3 niedrigster Aufwand)!;"[{""left"": ""Prozessanalyse"", ""right"": ""1""}, {""left"": ""Anforderungen spezifizieren"", ""right"": ""2""}, {""left"": ""Endauswahl und Entscheidung"", ""right"": ""3""}]";"{""Prozessanalyse"": ""1"", ""Anforderungen spezifizieren"": ""2"", ""Endauswahl und Entscheidung"": ""3""}";;
SS2023-10;Original SS2023;Wirtschaftlichkeit;multiple_choice;Stellen Sie Überlegungen zur Wirtschaftlichkeit von ERP-Systemen an. Welche Aspekte sollen in der Auswahl-Phase idealerweise beachtet werden?;"[{""id"": ""a"", ""text"": ""Befragen der User des Alt-Systems, um deren Arbeitsweise möglichst zu optimieren und das System ohne Vorankündigung einführen zu können."", ""correct"": false}, {""id"": ""b"", ""text"": ""Alle System-Schnittstellen detailliert dokumentieren, wobei jene in vertikaler Richtung nicht von Relevanz sind."", ""correct"": false}, {""id"": ""c"", ""text"": ""Die vollständige Abbildung der betriebswirtschaftlichen Abläufe im Unternehmen, um Abhängigkeiten zu identifizieren."", ""correct"": true}, {""id"": ""d"", ""text"": ""Ausschließlich Abteilungen des Unternehmens betrachten in denen die meisten Mitarbeiter mit dem neuen System arbeiten um eine repräsentative Menge zu erreichen."", ""correct"": false}, {""id"": ""e"", ""text"": ""Identifizieren notwendiger Anpassungen in bestehenden und im neuen System und ermitteln der Aufwände dafür."", ""correct"": true}, {""id"": ""f"", ""text"": ""Die Dokumentation der Schnittstellen mit anderen Systemen, nach innen und außen und Evaluierung selbiger für eine potenzielle Ablöse/Eliminierung."", ""correct"": true}]";"[""c"", ""e"", ""f""]";;
SS2023-11;Original SS2023;Einführung IS;true_false;Mit Hilfe eines Einführungs-Referenzmodells kann man überprüfen, welche Referenzen das einzuführende Informationssystem bereits hat.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
SS2023-12;Original SS2023;Produktivitätsparadoxon;multiple_choice;Welche Ursachen kann das Produktivitätsparadoxon in der IT haben?;"[{""id"": ""a"", ""text"": ""Die Änderung von Unternehmensprozessen geht mit Lern- und Anpassungseffekten einher."", ""correct"": true}, {""id"": ""b"", ""text"": ""Die Mitarbeiterqualifikation sinkt und man kann billigere Arbeitskräfte einstellen."", ""correct"": false}, {""id"": ""c"", ""text"": ""Fehlende Vergleichswerte und mangelnde Transparenz lassen nicht erkennen, ob sich Investitionen gelohnt haben."", ""correct"": true}, {""id"": ""d"", ""text"": ""Ungenutzte technische Potenziale verschlechtern die Effizienz des neuen Systems."", ""correct"": true}, {""id"": ""e"", ""text"": ""Wenn man sich dazu entscheidet immer das neueste System einzuführen kann nichts schief gehen."", ""correct"": false}, {""id"": ""f"", ""text"": ""Die Implementierungskosten sind sehr gering wenn man das System selbst erstellt."", ""correct"": false}]";"[""a"", ""c"", ""d""]";;
